relative_path,aoi_id,source_ids,product_version,observation_or_scenario_period,data_kind,bands_or_fields,units,scale_and_offset,dtype,shape_rows_cols_bands,crs,pixel_size_native_units,nodata,processing,original_urls_or_inputs,license_source_ids,retrieved_or_created_date,size_bytes,sha256
RU_MORDOVIA_03/CCI_Biomass_2015.tif,RU_MORDOVIA_03,CCI_V7,7.0,2015,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2015/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2015-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2015/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2015-fv7.0.tif""]",CCI_V7,2026-09-16,10274,8cdabb17972a18afa66ee6a0807ca5cd0b1fb6e8d19e5fb680dbee6947e351c4
RU_MORDOVIA_03/CCI_Biomass_2016.tif,RU_MORDOVIA_03,CCI_V7,7.0,2016,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2016/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2016-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2016/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2016-fv7.0.tif""]",CCI_V7,2026-09-16,10254,78a1c5439b2a459ef79a1c72c63ba7c536640bcb6793d085787b01ee366be952
RU_MORDOVIA_03/CCI_Biomass_2017.tif,RU_MORDOVIA_03,CCI_V7,7.0,2017,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2017/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2017-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2017/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2017-fv7.0.tif""]",CCI_V7,2026-09-16,9922,b472323dcbe5ad19f3987a08f26bc1b43349eee993bbe90f92a1a2f17239bab7
RU_MORDOVIA_03/CCI_Biomass_2018.tif,RU_MORDOVIA_03,CCI_V7,7.0,2018,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2018/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2018-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2018/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2018-fv7.0.tif""]",CCI_V7,2026-09-16,9658,6eaa0605edd9c427958c8ea9d7b23a32b0d4285f8a562442fe1955f895d42e1a
RU_MORDOVIA_03/CCI_Biomass_2019.tif,RU_MORDOVIA_03,CCI_V7,7.0,2019,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2019/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2019-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2019/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2019-fv7.0.tif""]",CCI_V7,2026-09-16,9852,61d03f30da91630366ee821049be14832ca9a472ce2df04ba844cb68ab1be9f8
RU_MORDOVIA_03/CCI_Biomass_2020.tif,RU_MORDOVIA_03,CCI_V7,7.0,2020,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2020/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2020-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2020/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2020-fv7.0.tif""]",CCI_V7,2026-09-16,9790,988d2f9aa64a4902d9cb4b68894ed8531864b14bce563b8355355b02be6a30b2
RU_MORDOVIA_03/CCI_Biomass_2021.tif,RU_MORDOVIA_03,CCI_V7,7.0,2021,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2021/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2021-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2021/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2021-fv7.0.tif""]",CCI_V7,2026-09-16,9806,3336f365c2023dafa5a97511f3f0e5befa6c4a83f824c5b36ed80283ee6c8737
RU_MORDOVIA_03/CCI_Biomass_2022.tif,RU_MORDOVIA_03,CCI_V7,7.0,2022,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2022/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2022-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2022/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2022-fv7.0.tif""]",CCI_V7,2026-09-16,8978,4e302dc7aa590f32441f731ba183102f55eb46a5ad10947c1effd9048f5e410e
RU_MORDOVIA_03/CCI_Biomass_2023.tif,RU_MORDOVIA_03,CCI_V7,7.0,2023,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2023/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2023-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2023/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2023-fv7.0.tif""]",CCI_V7,2026-09-16,8936,867a8cdd06d2b4ebaa5debe95102b471639a10558c53bdac2c21b8ed5583ef7b
RU_MORDOVIA_03/CCI_Biomass_2024.tif,RU_MORDOVIA_03,CCI_V7,7.0,2024,внешняя модельная оценка,"[""AGB"", ""AGB_SD""]",каналы 1 и 2: т сухого вещества/га,1; offset=0,"uint16,uint16",46x73x2,EPSG:4326,"[0.0008888888888888889, 0.0008888888888888889]",None,Прямоугольная вырезка по исходной сетке; объединение двух переменных без интерполяции.,"[""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2024/N60E040_ESACCI-BIOMASS-L4-AGB-MERGED-100m-2024-fv7.0.tif"", ""https://dap.ceda.ac.uk/neodc/esacci/biomass/data/agb/maps/v7.0/geotiff/2024/N60E040_ESACCI-BIOMASS-L4-AGB_SD-MERGED-100m-2024-fv7.0.tif""]",CCI_V7,2026-09-16,8930,b0586e41969c1516c613600542a9980239a456539619dc61b559b3af8a714358
