scene_key,aoi_id,item_id,datetime_utc,year,collection,processing_baseline,source_scene_cloud_percent,scl_4_5_6_7_fraction_crop,selection_role,reflectance_path,scl_path,metadata_file
RU_MORDOVIA_03__S2B_38ULF_20190814_1_L2A,RU_MORDOVIA_03,S2B_38ULF_20190814_1_L2A,2019-08-14T08:24:58.812000Z,2019,sentinel-2-l2a,05.00,15.315099,0.999815,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20190814_1_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20190814_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20190625_1_L2A,RU_MORDOVIA_03,S2B_38ULF_20190625_1_L2A,2019-06-25T08:25:00.614000Z,2019,sentinel-2-l2a,05.00,18.818906,0.854227,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20190625_1_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20190625_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20200712_1_L2A,RU_MORDOVIA_03,S2B_38ULF_20200712_1_L2A,2020-07-12T08:34:50.332000Z,2020,sentinel-2-l2a,05.00,0,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20200712_1_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20200712_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20200818_2_L2A,RU_MORDOVIA_03,S2B_38ULF_20200818_2_L2A,2020-08-18T08:24:53.973000Z,2020,sentinel-2-l2a,05.00,1.403863,0.990484,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20200818_2_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20200818_2_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20210912_0_L2A,RU_MORDOVIA_03,S2B_38ULF_20210912_0_L2A,2021-09-12T08:24:48.583000Z,2021,sentinel-2-l2a,03.01,22.127293,0.017199,наблюдение сентября 2021 года после пожара,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20210912_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20210912_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2A_38ULF_20210712_1_L2A,RU_MORDOVIA_03,S2A_38ULF_20210712_1_L2A,2021-07-12T08:34:51.753000Z,2021,sentinel-2-l2a,05.00,0,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20210712_1_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20210712_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2A_38ULF_20210619_1_L2A,RU_MORDOVIA_03,S2A_38ULF_20210619_1_L2A,2021-06-19T08:24:52.764000Z,2021,sentinel-2-l2a,05.00,0.504305,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20210619_1_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20210619_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2A_38ULF_20220823_0_L2A,RU_MORDOVIA_03,S2A_38ULF_20220823_0_L2A,2022-08-23T08:25:05.010000Z,2022,sentinel-2-l2a,04.00,0.007581,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20220823_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20220823_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2A_38ULF_20220627_0_L2A,RU_MORDOVIA_03,S2A_38ULF_20220627_0_L2A,2022-06-27T08:35:01.444000Z,2022,sentinel-2-l2a,04.00,1.035719,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20220627_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20220627_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2A_38ULF_20230818_0_L2A,RU_MORDOVIA_03,S2A_38ULF_20230818_0_L2A,2023-08-18T08:24:58.343000Z,2023,sentinel-2-l2a,05.09,0.011131,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20230818_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2A_38ULF_20230818_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20230617_0_L2A,RU_MORDOVIA_03,S2B_38ULF_20230617_0_L2A,2023-06-17T08:34:53.476000Z,2023,sentinel-2-l2a,05.09,7.079357,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20230617_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20230617_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20240708_0_L2A,RU_MORDOVIA_03,S2B_38ULF_20240708_0_L2A,2024-07-08T08:24:55.154000Z,2024,sentinel-2-l2a,05.10,0.000328,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20240708_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20240708_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_03__S2B_38ULF_20240830_0_L2A,RU_MORDOVIA_03,S2B_38ULF_20240830_0_L2A,2024-08-30T08:34:51.231000Z,2024,sentinel-2-l2a,05.11,0.024767,1.0,летнее наблюдение,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20240830_0_L2A_reflectance.tif,RU_MORDOVIA_03/Sentinel2/S2B_38ULF_20240830_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20190623_1_L2A,RU_MORDOVIA_04,S2A_38ULF_20190623_1_L2A,2019-06-23T08:34:52.858000Z,2019,sentinel-2-l2a,05.00,9.845462,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20190623_1_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20190623_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20190814_1_L2A,RU_MORDOVIA_04,S2B_38ULF_20190814_1_L2A,2019-08-14T08:24:58.812000Z,2019,sentinel-2-l2a,05.00,15.315099,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20190814_1_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20190814_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20200712_1_L2A,RU_MORDOVIA_04,S2B_38ULF_20200712_1_L2A,2020-07-12T08:34:50.332000Z,2020,sentinel-2-l2a,05.00,0,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20200712_1_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20200712_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20200818_2_L2A,RU_MORDOVIA_04,S2B_38ULF_20200818_2_L2A,2020-08-18T08:24:53.973000Z,2020,sentinel-2-l2a,05.00,1.403863,0.995324,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20200818_2_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20200818_2_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20210912_0_L2A,RU_MORDOVIA_04,S2B_38ULF_20210912_0_L2A,2021-09-12T08:24:48.583000Z,2021,sentinel-2-l2a,03.01,22.127293,0.109603,наблюдение сентября 2021 года после пожара,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20210912_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20210912_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20210712_1_L2A,RU_MORDOVIA_04,S2A_38ULF_20210712_1_L2A,2021-07-12T08:34:51.753000Z,2021,sentinel-2-l2a,05.00,0,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20210712_1_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20210712_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20210619_1_L2A,RU_MORDOVIA_04,S2A_38ULF_20210619_1_L2A,2021-06-19T08:24:52.764000Z,2021,sentinel-2-l2a,05.00,0.504305,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20210619_1_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20210619_1_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20220823_0_L2A,RU_MORDOVIA_04,S2A_38ULF_20220823_0_L2A,2022-08-23T08:25:05.010000Z,2022,sentinel-2-l2a,04.00,0.007581,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20220823_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20220823_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20220627_0_L2A,RU_MORDOVIA_04,S2A_38ULF_20220627_0_L2A,2022-06-27T08:35:01.444000Z,2022,sentinel-2-l2a,04.00,1.035719,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20220627_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20220627_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2A_38ULF_20230818_0_L2A,RU_MORDOVIA_04,S2A_38ULF_20230818_0_L2A,2023-08-18T08:24:58.343000Z,2023,sentinel-2-l2a,05.09,0.011131,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20230818_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2A_38ULF_20230818_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20230617_0_L2A,RU_MORDOVIA_04,S2B_38ULF_20230617_0_L2A,2023-06-17T08:34:53.476000Z,2023,sentinel-2-l2a,05.09,7.079357,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20230617_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20230617_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20240708_0_L2A,RU_MORDOVIA_04,S2B_38ULF_20240708_0_L2A,2024-07-08T08:24:55.154000Z,2024,sentinel-2-l2a,05.10,0.000328,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20240708_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20240708_0_L2A_SCL.tif,scene_metadata.json
RU_MORDOVIA_04__S2B_38ULF_20240830_0_L2A,RU_MORDOVIA_04,S2B_38ULF_20240830_0_L2A,2024-08-30T08:34:51.231000Z,2024,sentinel-2-l2a,05.11,0.024767,1.0,летнее наблюдение,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20240830_0_L2A_reflectance.tif,RU_MORDOVIA_04/Sentinel2/S2B_38ULF_20240830_0_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2A_36VVH_20190702_0_L2A,RU_TVER_01,S2A_36VVH_20190702_0_L2A,2019-07-02T09:04:45.946000Z,2019,sentinel-2-l2a,02.12,41.242668,0.999752,летнее наблюдение,RU_TVER_01/Sentinel2/S2A_36VVH_20190702_0_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2A_36VVH_20190702_0_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2B_36VVH_20190727_1_L2A,RU_TVER_01,S2B_36VVH_20190727_1_L2A,2019-07-27T09:04:49.421000Z,2019,sentinel-2-l2a,05.00,4.484649,0.874887,летнее наблюдение,RU_TVER_01/Sentinel2/S2B_36VVH_20190727_1_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2B_36VVH_20190727_1_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2B_36VVH_20200624_1_L2A,RU_TVER_01,S2B_36VVH_20200624_1_L2A,2020-06-24T09:14:41.217000Z,2020,sentinel-2-l2a,05.00,0.020295,1.0,летнее наблюдение,RU_TVER_01/Sentinel2/S2B_36VVH_20200624_1_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2B_36VVH_20200624_1_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2B_36VVH_20200721_1_L2A,RU_TVER_01,S2B_36VVH_20200721_1_L2A,2020-07-21T09:04:42.939000Z,2020,sentinel-2-l2a,05.00,33.212876,0.524328,летнее наблюдение,RU_TVER_01/Sentinel2/S2B_36VVH_20200721_1_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2B_36VVH_20200721_1_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2B_36VVH_20210619_1_L2A,RU_TVER_01,S2B_36VVH_20210619_1_L2A,2021-06-19T09:14:39.488000Z,2021,sentinel-2-l2a,05.00,0.000849,1.0,летнее наблюдение,RU_TVER_01/Sentinel2/S2B_36VVH_20210619_1_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2B_36VVH_20210619_1_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2B_36VVH_20210709_1_L2A,RU_TVER_01,S2B_36VVH_20210709_1_L2A,2021-07-09T09:14:40.502000Z,2021,sentinel-2-l2a,05.00,4.191363,0.969562,летнее наблюдение,RU_TVER_01/Sentinel2/S2B_36VVH_20210709_1_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2B_36VVH_20210709_1_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2A_36VVH_20220825_0_L2A,RU_TVER_01,S2A_36VVH_20220825_0_L2A,2022-08-25T09:04:53.769000Z,2022,sentinel-2-l2a,04.00,1.15385,1.0,летнее наблюдение,RU_TVER_01/Sentinel2/S2A_36VVH_20220825_0_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2A_36VVH_20220825_0_L2A_SCL.tif,scene_metadata.json
RU_TVER_01__S2A_36VVH_20220805_0_L2A,RU_TVER_01,S2A_36VVH_20220805_0_L2A,2022-08-05T09:04:52.196000Z,2022,sentinel-2-l2a,04.00,9.692387,0.829929,летнее наблюдение,RU_TVER_01/Sentinel2/S2A_36VVH_20220805_0_L2A_reflectance.tif,RU_TVER_01/Sentinel2/S2A_36VVH_20220805_0_L2A_SCL.tif,scene_metadata.json
