latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
37.89556,24.92304,328.66,0.46,0.39,2021-01-01,1101,N,VIIRS,n,2,286.81,2.43,D,0
39.86472,25.34067,338.98,0.42,0.38,2021-01-01,1102,N,VIIRS,n,2,289.39,3.59,D,0
40.46978,21.12828,339.69,0.4,0.44,2021-01-01,1102,N,VIIRS,n,2,280.17,2.81,D,0
39.92297,22.6991,333.67,0.53,0.42,2021-01-01,1102,N,VIIRS,n,2,288.21,6.19,D,0
39.92142,22.7013,337.45,0.53,0.42,2021-01-01,1102,N,VIIRS,n,2,288.93,4.84,D,0
39.86728,25.33478,333.22,0.42,0.38,2021-01-01,1102,N,VIIRS,n,2,290.85,4.07,D,0
38.56454,23.29445,318.9,0.32,0.55,2021-01-02,0101,N,VIIRS,n,2,280.6,1.56,N,2
35.21378,25.57331,329.91,0.55,0.51,2021-01-02,1042,N,VIIRS,n,2,286.3,6.17,D,0
40.78402,22.73566,340.8,0.55,0.68,2021-01-02,1224,N,VIIRS,n,2,286.79,4.79,D,0
40.82938,22.72675,335.44,0.55,0.68,2021-01-02,1224,N,VIIRS,n,2,283.73,3.67,D,0
40.78461,22.7327,345.39,0.55,0.68,2021-01-02,1224,N,VIIRS,n,2,286.07,4.47,D,0
35.28946,24.71097,339.26,0.54,0.68,2021-01-03,1023,N,VIIRS,n,2,284.13,3.86,D,0
37.9951,24.55953,347.41,0.37,0.58,2021-01-03,1204,N,VIIRS,n,2,287.33,4.3,D,0
37.99366,24.55989,346.36,0.37,0.58,2021-01-03,1204,N,VIIRS,n,2,286.94,5.25,D,0
39.38699,22.80902,306.88,0.47,0.4,2021-01-05,0005,N,VIIRS,n,2,277.22,0.76,N,2
39.35475,22.9857,297.05,0.46,0.39,2021-01-05,0005,N,VIIRS,n,2,280.16,0.67,N,2
38.1297,23.52295,306.64,0.43,0.38,2021-01-05,0005,N,VIIRS,n,2,281.44,0.91,N,2
37.91887,23.07414,296.58,0.44,0.46,2021-01-08,0049,N,VIIRS,n,2,284,0.76,N,2
38.56588,23.29313,300.38,0.44,0.46,2021-01-08,0049,N,VIIRS,n,2,285.19,0.93,N,2
36.82278,24.58053,327.81,0.41,0.61,2021-01-08,1030,N,VIIRS,n,2,288.15,2.61,D,0
37.89268,24.92621,331.86,0.65,0.73,2021-01-09,1011,N,VIIRS,n,2,283.62,8.92,D,0
37.89083,24.92033,329.7,0.65,0.73,2021-01-09,1011,N,VIIRS,n,2,283.99,8.92,D,0
38.12992,23.52581,310.11,0.4,0.37,2021-01-10,0011,N,VIIRS,n,2,285.25,1.27,N,2
38.5667,23.29459,321.22,0.4,0.37,2021-01-10,0011,N,VIIRS,n,2,285.71,1.71,N,3
38.56333,23.29387,296.43,0.4,0.37,2021-01-10,0011,N,VIIRS,n,2,285.71,0.6,N,2
37.9177,23.07262,300.96,0.4,0.37,2021-01-10,0012,N,VIIRS,n,2,288.24,1.05,N,2
38.39238,23.07101,330.1,0.41,0.37,2021-01-10,1133,N,VIIRS,n,2,290.59,2.66,D,0
39.03878,22.24179,342.61,0.4,0.37,2021-01-10,1133,N,VIIRS,n,2,292.39,5.52,D,0
38.56474,23.29571,330.2,0.4,0.44,2021-01-10,2352,N,VIIRS,n,2,283.59,3.92,N,2
38.13046,23.52509,304.36,0.39,0.44,2021-01-10,2353,N,VIIRS,n,2,285.45,0.9,N,2
38.53632,22.80205,326.66,0.42,0.38,2021-01-11,1114,N,VIIRS,n,2,287.58,2.38,D,0
39.35649,22.984,298.23,0.49,0.49,2021-01-13,0055,N,VIIRS,n,2,279.45,0.79,N,2
39.3544,22.98407,302.24,0.49,0.49,2021-01-13,0055,N,VIIRS,n,2,280.45,1.76,N,2
36.72522,25.37623,338.08,0.62,0.54,2021-01-13,1036,N,VIIRS,n,2,287.53,6.34,D,0
35.05133,25.64439,326.64,0.59,0.7,2021-01-14,1017,N,VIIRS,n,2,284.01,3.09,D,0
35.05137,25.64412,325.09,0.59,0.7,2021-01-14,1017,N,VIIRS,n,2,283.99,2.23,D,0
37.91848,23.07159,296.68,0.38,0.36,2021-01-15,0018,N,VIIRS,n,2,282.82,1.13,N,2
39.16293,25.94542,347.9,0.43,0.46,2021-01-18,1043,N,VIIRS,n,2,286.5,8.3,D,0
41.10904,23.39289,356.47,0.34,0.56,2021-01-19,1205,N,VIIRS,n,2,280,4.62,D,0
41.10857,23.39251,349.15,0.34,0.56,2021-01-19,1205,N,VIIRS,n,2,279.44,3.54,D,0
39.3545,22.98442,300.64,0.39,0.36,2021-01-20,0024,N,VIIRS,n,2,274.65,0.91,N,2
39.16603,22.84588,301.78,0.39,0.36,2021-01-20,0024,N,VIIRS,n,2,269.19,0.71,N,2
38.12999,23.52707,299.35,0.4,0.37,2021-01-20,0024,N,VIIRS,n,2,274.26,0.48,N,2
35.26647,23.60662,339.34,0.52,0.41,2021-01-20,1145,N,VIIRS,n,2,288.84,10.58,D,0
35.26471,23.6085,339,0.52,0.41,2021-01-20,1145,N,VIIRS,n,2,288.37,7.37,D,0
37.19842,24.50014,334.6,0.4,0.44,2021-01-20,1145,N,VIIRS,n,2,285.54,2.86,D,0
41.01136,24.10082,325.17,0.42,0.45,2021-01-20,1146,N,VIIRS,n,2,281.04,2.56,D,0
38.36378,21.21158,326.47,0.44,0.39,2021-01-20,1146,N,VIIRS,n,2,285.65,2.5,D,0
38.56625,23.29333,296.37,0.49,0.48,2021-01-21,2346,N,VIIRS,n,2,278.85,1.03,N,2
38.13088,23.52483,298.75,0.47,0.48,2021-01-21,2346,N,VIIRS,n,2,277.53,1.09,N,2
40.28281,23.44321,298.98,0.35,0.57,2021-01-23,0107,N,VIIRS,n,2,278.65,0.57,N,2
38.56326,23.29416,306.18,0.38,0.59,2021-01-23,0108,N,VIIRS,n,2,280.75,1.33,N,2
39.354,22.9842,300.87,0.35,0.57,2021-01-23,0108,N,VIIRS,n,2,276.39,0.9,N,2
38.12885,23.52716,297,0.46,0.47,2021-01-24,0049,N,VIIRS,n,2,279.74,0.76,N,2
37.959,23.40119,300.31,0.46,0.47,2021-01-24,0049,N,VIIRS,n,2,282.99,1.39,N,0
37.96324,23.40273,302.98,0.46,0.47,2021-01-24,0049,N,VIIRS,n,2,283.61,1.42,N,3
39.38399,22.80831,295.3,0.4,0.44,2021-01-24,0049,N,VIIRS,n,2,278.2,0.5,N,0
38.12918,23.52453,299.97,0.4,0.37,2021-01-26,0012,N,VIIRS,n,2,271.62,0.86,N,2
38.37479,24.0604,297.14,0.33,0.55,2021-01-27,2334,N,VIIRS,n,2,276.98,0.64,N,2
38.13164,23.52426,296.79,0.35,0.56,2021-01-27,2334,N,VIIRS,n,2,274.2,0.38,N,2
41.09553,23.47554,333.4,0.54,0.42,2021-01-28,1056,N,VIIRS,n,2,281.32,6.38,D,0
40.19304,22.56748,342.79,0.41,0.45,2021-01-28,1056,N,VIIRS,n,2,283.29,5.09,D,0
41.04095,22.92307,328.65,0.32,0.55,2021-01-29,1037,N,VIIRS,n,2,282.14,2.26,D,0
39.38686,22.80828,295.4,0.39,0.36,2021-01-31,0017,N,VIIRS,n,2,263.07,0.35,N,2
39.35368,22.98603,301.66,0.39,0.36,2021-01-31,0017,N,VIIRS,n,2,279.31,1.01,N,2
38.12759,23.5247,296.25,0.38,0.36,2021-01-31,0018,N,VIIRS,n,2,276.99,0.63,N,2
38.37498,24.06388,295.7,0.39,0.36,2021-01-31,0018,N,VIIRS,n,2,275.7,0.25,N,2
38.13088,23.52553,302.83,0.38,0.36,2021-01-31,0018,N,VIIRS,n,2,280.79,0.63,N,2
39.42704,22.66827,328.74,0.39,0.36,2021-02-01,1121,N,VIIRS,n,2,284.62,2.91,D,0
37.91851,22.80794,306.14,0.56,0.69,2021-02-02,2321,N,VIIRS,n,2,278.03,1.29,N,0
37.91909,22.80747,307.76,0.56,0.69,2021-02-02,2321,N,VIIRS,n,2,277.99,1.07,N,0
38.56424,23.29539,295.61,0.32,0.55,2021-02-03,0101,N,VIIRS,n,2,279.87,0.76,N,2
38.56508,23.2921,295.26,0.32,0.55,2021-02-03,0101,N,VIIRS,n,2,281.04,1.18,N,2
37.91881,23.07333,298.29,0.32,0.55,2021-02-03,0102,N,VIIRS,n,2,283.12,0.7,N,2
40.08104,23.79473,327.87,0.52,0.5,2021-02-03,1043,N,VIIRS,n,2,288.65,4.13,D,0
40.6876,22.72568,347.68,0.55,0.68,2021-02-03,1224,N,VIIRS,n,2,290.45,5.44,D,0
38.13029,23.52444,302.34,0.39,0.44,2021-02-04,0043,N,VIIRS,n,2,280.57,0.9,N,2
39.16835,22.84115,308.13,0.52,0.41,2021-02-04,0043,N,VIIRS,n,2,279.79,1.43,N,2
38.3726,24.06227,302.95,0.41,0.45,2021-02-04,0043,N,VIIRS,n,2,283.52,0.91,N,2
40.43301,21.16401,347.13,0.51,0.5,2021-02-04,1205,N,VIIRS,n,2,292.88,8.91,D,0
41.07395,23.78807,345.38,0.36,0.57,2021-02-04,1205,N,VIIRS,n,2,289.38,2.13,D,0
