latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
36.55098,22.99645,332.74,0.47,0.48,2023-01-02,1056,N,VIIRS,n,2,289.34,3.54,D,0
41.01478,23.38178,331,0.55,0.43,2023-01-02,1058,N,VIIRS,n,2,288.31,7.11,D,0
35.33325,23.80561,326.89,0.41,0.61,2023-01-03,1037,N,VIIRS,n,2,287.55,2.58,D,0
35.33175,23.79984,335.28,0.41,0.61,2023-01-03,1037,N,VIIRS,n,2,287.22,2.58,D,0
35.33149,23.80576,331.56,0.41,0.6,2023-01-03,1037,N,VIIRS,n,2,287.68,3.09,D,0
35.3301,23.80058,339.18,0.41,0.6,2023-01-03,1037,N,VIIRS,n,2,288.5,3.09,D,0
39.95546,22.38397,326.57,0.43,0.62,2023-01-03,1219,N,VIIRS,n,2,287.4,1.92,D,0
35.09619,25.89113,327.82,0.57,0.69,2023-01-04,1019,N,VIIRS,n,2,287.8,4.72,D,0
35.09359,25.89145,343.69,0.34,0.56,2023-01-04,1159,N,VIIRS,n,2,287.28,4.25,D,0
35.2883,23.66957,339.18,0.51,0.49,2023-01-04,1159,N,VIIRS,n,2,292.46,5.22,D,0
35.28759,23.66649,339.32,0.51,0.49,2023-01-04,1159,N,VIIRS,n,2,292.38,4.52,D,0
35.33282,23.81941,339.53,0.52,0.5,2023-01-04,1159,N,VIIRS,n,2,289.38,6.98,D,0
37.82984,21.60169,347.16,0.42,0.45,2023-01-04,1200,N,VIIRS,n,2,291.06,5.02,D,0
38.18383,21.42412,337.25,0.42,0.45,2023-01-04,1200,N,VIIRS,n,2,290.65,4.21,D,0
38.37487,21.87813,326.11,0.44,0.46,2023-01-04,1200,N,VIIRS,n,2,288.33,1.35,D,0
39.56077,21.65473,327.47,0.44,0.46,2023-01-04,1200,N,VIIRS,n,2,288.35,2.01,D,0
39.74774,21.53378,329.67,0.44,0.46,2023-01-04,1200,N,VIIRS,n,2,288.2,1.49,D,0
40.86224,23.73862,330.74,0.58,0.52,2023-01-04,1200,N,VIIRS,n,2,286.64,4.17,D,0
38.04126,23.51072,295.82,0.38,0.36,2023-01-05,0019,N,VIIRS,n,2,284.58,0.74,N,0
37.91951,23.07395,299.95,0.38,0.36,2023-01-05,0020,N,VIIRS,n,2,285.31,1.05,N,2
39.11205,22.37311,334.55,0.44,0.38,2023-01-05,1141,N,VIIRS,n,2,289.55,6.07,D,0
38.37648,21.87257,325,0.42,0.37,2023-01-05,1141,N,VIIRS,n,2,283.87,1.99,D,0
41.06042,23.95135,329,0.53,0.42,2023-01-05,1142,N,VIIRS,n,2,286.74,3.28,D,0
41.04566,25.07414,298.2,0.46,0.39,2023-01-06,0000,N,VIIRS,n,2,275.76,0.61,N,0
39.38711,22.80368,295.15,0.55,0.43,2023-01-06,0000,N,VIIRS,n,2,275.99,0.56,N,2
38.37405,24.06087,303.79,0.47,0.4,2023-01-06,0001,N,VIIRS,n,2,282.87,1.08,N,2
38.07261,23.63268,306.96,0.49,0.4,2023-01-06,0001,N,VIIRS,n,2,278.05,1.47,N,0
38.07631,23.63344,318.96,0.49,0.4,2023-01-06,0001,N,VIIRS,n,2,278.7,2.09,N,0
39.13776,22.42521,328.16,0.39,0.36,2023-01-06,1122,N,VIIRS,n,2,288.07,1.6,D,0
37.61551,21.8359,326.69,0.41,0.37,2023-01-06,1122,N,VIIRS,n,2,289.29,1.38,D,0
40.64265,22.63054,340.02,0.39,0.36,2023-01-06,1123,N,VIIRS,n,2,291.4,12.34,D,0
40.40288,21.88895,340.02,0.39,0.36,2023-01-06,1123,N,VIIRS,n,2,287.47,3.27,D,0
40.59156,22.82812,339.67,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,290.35,7.91,D,0
40.59084,22.82361,334.53,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,294.21,7.91,D,0
40.59413,22.82272,332.27,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,288.78,7.91,D,0
40.60541,22.82907,329.06,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,291.3,6.15,D,0
40.61501,22.80296,333.41,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,290.37,3.57,D,0
40.6183,22.80207,326.69,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,287.41,3.57,D,0
40.62204,22.78223,328.64,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,287.97,1.27,D,0
40.6039,22.64585,334.63,0.39,0.36,2023-01-06,1123,N,VIIRS,n,2,289.79,5.19,D,0
40.77,23.25697,329.38,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,289.9,3.03,D,0
40.92612,23.54701,330.71,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,288.99,2.58,D,0
40.82252,22.82565,337.7,0.38,0.36,2023-01-06,1123,N,VIIRS,n,2,288.86,6.04,D,0
40.6267,21.57918,326.48,0.4,0.37,2023-01-06,1123,N,VIIRS,n,2,283.95,2.19,D,0
40.7801,22.49245,327.78,0.39,0.36,2023-01-06,1123,N,VIIRS,n,2,290.38,2.04,D,0
